NEW OFFICE,EST_ID,NEW TASK ID,NEW ENF TASK,EST_NAME
Kukatpally,APHYD0023008000,30202,70101,POKARNA FABRICS PRIVATE LIMITED
Kukatpally,APHYD1593889000,30203,70101,SUHAANA FASHIONS
Kukatpally,APHYD2063065000,30203,70101,VINAYAK & CO
Kukatpally,APHYD0032709000,30202,70101,INFERTILITY INSTITUTE - RESEARCH CENTRE
Kukatpally,APHYD0044256000,30201,70101,SHALIVAHANA PROJECTS LIMITED
Kukatpally,APHYD0053436000,30105,70101,COMMLAB INDIA LLP
Kukatpally,APHYD2556010000,30104,70101,MODY AUTONATION PRIVATE LIMITED
Kukatpally,APHYD0047513000,30103,70101,ASCEND TELECOM INFRASTRUCTURE PRIVATE LIMITED
Kukatpally,APHYD0051385000,30102,70101,M\S.RAILTEL CORPORATION OF INDIA LIMITED
Kukatpally,APHYD0063140000,30101,70101,HUCON SOLUTIONS INDIA PVT. LTD.
Kukatpally,APHYD0003500000,30101,70101,NANKING CHINESE RESTAURANT
Kukatpally,APHYD1550596000,30102,70101,GOWRA AEROSPACE TECHNOLOGIES PRIVATE LIMITED
Kukatpally,APHYD0082472000,30103,70101,ROCKSTAR FASHIONS INDIA PRIVATE LIMITED
Kukatpally,APHYD0059599000,30104,70101,ARUN KAPITAL NETWORKS
Kukatpally,APHYD0020631000,30105,70101,AGRO TECH FOODS LIMITED
Kukatpally,APHYD2062052000,30201,70101,NORM SOFTWARE PRIVATE LIMITED
Kukatpally,APHYD0006200000,30202,70101,"GLOBE DETECTIVE AGENCY (P) LTD.,"
Kukatpally,APHYD0064404000,30203,70101,VINOD BROS.
Kukatpally,APHYD1736647000,30203,70101,SUMMIT SALES LLP
Kukatpally,APHYD1979367000,30202,70101,GENOMIX AGRI GENETICS PRIVATE LIMITED
Kukatpally,APHYD2711004000,30201,70101,SHRI AHLADINI ENTERPRISES
Kukatpally,APHYD0008421000,30105,70101,"SARDAR PATEL COLLEGE,"
Kukatpally,APHYD0009238000,30104,70101,ST PATRICKS HIGH SCHOOL
Kukatpally,APHYD0028029000,30103,70101,RAJENDRASINGHJI INSTITUTE
Kukatpally,APHYD0044498000,30102,70101,G V K TECHNICAL AND CONSULTANCY SERVICES P LTD
Kukatpally,APHYD1015608000,30101,70101,SACHDEV SPORTS COMPANY PRIVATE LIMITED
Kukatpally,APHYD0072429000,30101,70101,VISHAL PERIPHERALS
Kukatpally,APHYD3129611000,30102,70101,MS AGARWAL FOUNDRIES PVT LTD
Kukatpally,APHYD0081848000,30103,70101, ADITYA AGRI TECH PRIVATE LIMITED
Kukatpally,APHYD1744027000,30104,70101,CASCADES DATA SOLUTIONS DBA INFOMATICS INDIA  PRIVATE LIMITED
Kukatpally,APHYD2655984000,30105,70101,G-RANK DIGITAL SERVICES PRIVATE LIMITED
Kukatpally,APHYD1466660000,30201,70101,CAPS GOLD PRIVATE LIMITED
Kukatpally,APHYD0032640000,30202,70101,GOOD SHEPHERD HOSPITAL LTD
Kukatpally,APHYD0043734000,30203,70101,G V K JAIPUR EXPRESSWAY (P) LTD
Kukatpally,APHYD1359124000,30203,70101,MITCHELL MARTIN (INDIA) PRIVATE LIMITED
Kukatpally,APHYD1654952000,30202,70101,3AK CHEMIE PRIVATE LIMITED
Kukatpally,APHYD0016288000,30201,70101,HOTEL BASERA
Kukatpally,APHYD0061920000,30105,70101,J C BROTHERS RETAIL PRIVATE LIMITED
Kukatpally,APHYD3017567000,30104,70101,COSPOWERS NEW ENERGY PRIVATE LIMITED
Kukatpally,APHYD0042956000,30103,70101,VENKATESAM LOGISTICS
Kukatpally,APHYD0043858000,30102,70101,G MASTAN REDDY
Kukatpally,APHYD0044385000,30101,70101,ECS FINANCIAL SERVICES (INDIA) PRIVATE LIMITED
Kukatpally,APHYD0043859000,30101,70101,CISTRON SYSTEMS PRIVATE LIMITED
Kukatpally,APHYD0044205000,30102,70101,SUMITOMO CHEMICAL INDIA LIMITED
Kukatpally,APHYD2594824000,30103,70101,WEBAPPCLOUDS SOFTWARE SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD1629619000,30104,70101,VINTAGE COFFEE PRIVATE LIMITED
Kukatpally,APHYD2603409000,30105,70101,SRI SAI ENTERPRISES
Kukatpally,APHYD0053876000,30201,70101,"VSN COMMERCIALS PVT LTD.,"
Kukatpally,APHYD0059786000,30202,70101,BHAGYANAGAR DIESELS
Kukatpally,APHYD2071780000,30203,70101,ASA FOODS AND HOSPITALITY
Kukatpally,APHYD2237332000,30203,70101,SYNPULSE INDIA PRIVATE LIMITED
Kukatpally,APHYD2630474000,30202,70101,FINSOL CONNECT PRIVATE LIMITED
Kukatpally,APHYD2908018000,30201,70101,RAJKAMAL TRANSPORT PRIVATE LIMITED
Kukatpally,APHYD0073699000,30105,70101,FORUM EDUCATED & SELF EMPLOYED
Kukatpally,APHYD1363442000,30104,70101,HOTEL SAPTAGIRI
Kukatpally,APHYD1999460000,30103,70101,ETO MOTORS PRIVATE LIMITED
Kukatpally,APHYD2273814000,30102,70101,SRI MAHALAXMI GEMS & JEWELLERS
Kukatpally,APHYD2528302000,30101,70101,FORTUNE MALAYALAM VEHICLES PRIVATE LIMITED
Kukatpally,APHYD2351544000,30101,70101,QAFFEINE PRIVATE LIMITED
Kukatpally,APHYD2794488000,30102,70101,DISTRICT HEALTH AND FAMILY WELFARE SOCIETY HYDERABAD
Kukatpally,APHYD0039512000,30103,70101,"SUNDER TAJ MAHAL PVT LTD.,"
Kukatpally,APHYD0044290000,30104,70101,L S ELECTRICALS
Kukatpally,APHYD0009271000,30105,70101,"B.R.J.C. PARSI HIGH SCHOOL,"
Kukatpally,APHYD0061236000,30201,70101,MANEPALLY JEWELLERS
Kukatpally,APHYD2744401000,30202,70101,RAVINDRA IRON WORKS
Kukatpally,APHYD0047894000,30203,70101,CHINTALAPATI ENTERPRISES
Kukatpally,APHYD0052306000,30203,70101,SREE SAI LABOUR CONTRACTORS
Kukatpally,APHYD0056678000,30202,70101,"SWEETY JEWELS PVT LTD.,"
Kukatpally,APHYD0061583000,30201,70101,ADROIT MANAGEMENT CONSULTANTS PVT LTD
Kukatpally,APHYD2130094000,30105,70101,POKARNA TEXTILES
Kukatpally,APHYD2348231000,30104,70101,NORTHEAST CHIT FUND SERVICES PRIVATE LIMITED
Kukatpally,APHYD2111405000,30103,70101,GLOBAL ALUMINIUM PRIVATE LIMITED
Kukatpally,APHYD2332806000,30102,70101,VSP HOTELS PRIVATE LIMITED
Kukatpally,APHYD0029185000,30101,70101,VIJAYA HEALTH CARE
Kukatpally,APHYD0056766000,30101,70101,YOCHITA ENGINEERING SERVICES
Kukatpally,APHYD1015514000,30102,70101,SACHDEV OVERSEAS FITNESS PRIVATE LIMITED
Kukatpally,APHYD1825251000,30103,70101,ASHOKA VARDHAN CHIRJIVELLA AMBEDKAR
Kukatpally,APHYD0030827000,30104,70101,ELECTRICAL LINES
Kukatpally,APHYD1033814000,30105,70101,PARKLINE DIAGNOSTIC SERVICES
Kukatpally,APHYD1379261000,30201,70101,NIKHIL CHAMPA LAL JAIN
Kukatpally,APHYD1779956000,30202,70101,PATLIPUTRA SERVICES PRIVATE LIMITED
Kukatpally,APHYD0061775000,30203,70101,ADMIRAL HITEC LOGISTICS (INDIA) PVT LTD
Kukatpally,APHYD1692484000,30203,70101,SETWIN SECURITY AND MAN POWER SERVICES
Kukatpally,APHYD2850552000,30202,70101,GWARS SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD0009276000,30201,70101,"ST.ANNS HIGH SCHOOL,"
Kukatpally,APHYD0032126000,30105,70101,SAKET ENGINEERS PRIVATE LIMITED
Kukatpally,APHYD0032664000,30104,70101,LPF SYSTEMS PVT LTD
Kukatpally,APHYD0053144000,30103,70101,A.PURUSHOTTAM CONSTRUCTIONS PRIVATE LIMITED
Kukatpally,APHYD0072735000,30102,70101,ERP ANALYSTS (INDIA) PVT LIMITED
Kukatpally,APHYD2178564000,30101,70101,MODY INDIA CARS PRIVATE LIMITED
Kukatpally,APHYD0037608000,30101,70101,C&K MANAGEMENT LTD
Kukatpally,APHYD0072518000,30102,70101,R S SECURITY SOLUTIONS
Kukatpally,APHYD0026319000,30103,70101,SECUNDERABAD DIAGNOSTIC AND RESEARCH CENTRE
Kukatpally,APHYD1555798000,30104,70101,DATA SYSTEMS
Kukatpally,APHYD1853005000,30105,70101,SRINAV INFO SYSTEMS PRIVATE LIMITED
Kukatpally,APHYD0022437000,30201,70101,"SOUTHEND CHENOLY TRADE CENTRE,"
Kukatpally,APHYD0081007000,30202,70101,LPF AUTO PVT LTD
Kukatpally,APHYD1486276000,30203,70101,R CHANDRA MOHAN
Kukatpally,APHYD1531393000,30203,70101,HINDUSTAN TRADE CENTRE (INDIA) PRIVATE LIMITED
Kukatpally,APHYD1564063000,30202,70101,PAVAN MOTORS PRIVATE LIMITED
Kukatpally,APHYD1808044000,30201,70101,ANANTA PHARMACY DISTRIBUTORS PRIVATE LIMITED
Kukatpally,APHYD2351308000,30105,70101,DRUG MART PHARMACEUTICAL DISTRIBUTORS
Kukatpally,APHYD2401589000,30104,70101,ORDUSION SYSTEM TECHNOLOGIES
Kukatpally,APHYD0009274000,30103,70101,"ST.FRANCIS GIRLS HIGH SCHOOL,"
Kukatpally,APHYD0072147000,30102,70101,TMI E2E ACADEMY PRIVAT LTD
Kukatpally,APHYD1343490000,30101,70101,VIBRANT FACADES
Kukatpally,APHYD1450853000,30101,70101,SHOURI ENGINEERING ENTERPRISES
